 iteration      beta_a      beta_b
     10700    2.644886    1.309124
     10725    2.622251    1.246279
     10750    2.548469    1.230970
     10775    2.532299    1.222548
     10800    2.644271    1.288993
     10825    2.729495    1.252862
     10850    2.615879    1.279976
     10875    2.577638    1.188518
     10900    2.574360    1.258648
     10925    2.522484    1.221560
     10950    2.498451    1.224654
     10975    2.510916    1.247731
     11000    2.422068    1.212217
     11025    2.586322    1.241503
     11050    2.646828    1.281765
     11075    2.521146    1.237741
     11100    2.609716    1.227312
     11125    2.584609    1.274555
     11150    2.715236    1.263012
     11175    2.498751    1.203779
     11200    2.571824    1.265739
     11225    2.582168    1.257523
     11250    2.663629    1.259176
     11275    2.422407    1.206432
     11300    2.711574    1.267813
     11325    2.671582    1.325076
     11350    2.515435    1.194140
     11375    2.692758    1.246998
     11400    2.616337    1.279282
     11425    2.597480    1.281073
     11450    2.748014    1.285909
     11475    2.565498    1.278152
     11500    2.494866    1.225354
     11525    2.499378    1.234745
     11550    2.520126    1.226653
     11575    2.628388    1.273710
     11600    2.558671    1.232870
     11625    2.538761    1.262856
     11650    2.693968    1.261260
     11675    2.706479    1.268142
     11700    2.555977    1.251211
     11725    2.674689    1.312483
     11750    2.492187    1.251359
     11775    2.631722    1.288623
     11800    2.569156    1.249951
     11825    2.489914    1.229358
     11850    2.569810    1.270493
     11875    2.654388    1.251055
     11900    2.609075    1.283645
     11925    2.553593    1.216319
     11950    2.634319    1.296067
     11975    2.548704    1.242168
     12000    2.549300    1.191895
     12025    2.538956    1.247173
     12050    2.486900    1.215523
     12075    2.587345    1.263027
     12100    2.667350    1.267208
     12125    2.714034    1.326140
     12150    2.608089    1.261626
     12175    2.678983    1.322040
     12200    2.428524    1.196307
     12225    2.599772    1.252536
     12250    2.644971    1.263419
     12275    2.602511    1.262208
     12300    2.818277    1.386546
     12325    2.562358    1.292904
     12350    2.608262    1.261910
     12375    2.616009    1.297982
     12400    2.649456    1.296778
     12425    2.828929    1.315589
     12450    2.476850    1.266990
     12475    2.598272    1.254425
     12500    2.543477    1.245065
     12525    2.608896    1.251041
     12550    2.649109    1.255619
     12575    2.674216    1.350642
     12600    2.546999    1.243174
     12625    2.486864    1.194908
     12650    2.512389    1.198870
     12675    2.716261    1.296398
     12700    2.579336    1.247355
     12725    2.702331    1.291697
     12750    2.688627    1.298859
     12775    2.725563    1.253629
     12800    2.632169    1.270000
     12825    2.667701    1.301871
     12850    2.593062    1.267126
     12875    2.622837    1.246813
     12900    2.607194    1.247741
     12925    2.752634    1.291274
     12950    2.653261    1.270226
     12975    2.698581    1.280167
     13000    2.609506    1.266596
     13025    2.508062    1.219868
     13050    2.809609    1.341699
     13075    2.630610    1.276429
