 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
      6650   -1.68441e+04    0.315785    0.310000    0.334180    0.320000    0.280000    0.337420    0.332630
      6675   -1.69110e+04    0.315990    0.360000    0.329680    0.240000    0.280000    0.340080    0.333435
      6700   -1.66760e+04    0.315090    0.360000    0.330400    0.120000    0.280000    0.341480    0.331955
      6725   -1.55781e+04    0.315980    0.310000    0.331620    0.120000    0.520000    0.341280    0.331860
      6750   -1.53982e+04    0.316980    0.290000    0.330860    0.360000    0.320000    0.343680    0.331105
      6775   -1.51669e+04    0.316430    0.310000    0.333540    0.120000    0.280000    0.339040    0.334155
      6800   -1.52483e+04    0.315780    0.310000    0.330460    0.360000    0.320000    0.339340    0.334650
      6825   -1.47224e+04    0.317560    0.280000    0.331980    0.320000    0.520000    0.337780    0.332710
      6850   -1.49817e+04    0.316910    0.350000    0.327700    0.240000    0.240000    0.341400    0.333065
      6875   -1.44100e+04    0.316730    0.330000    0.327480    0.360000    0.280000    0.339120    0.333855
      6900   -1.51828e+04    0.317455    0.360000    0.331320    0.320000    0.320000    0.338820    0.331955
      6925   -1.44975e+04    0.318070    0.330000    0.328020    0.160000    0.240000    0.339200    0.332295
      6950   -1.46926e+04    0.313625    0.230000    0.329380    0.440000    0.360000    0.335860    0.333280
      6975   -1.46433e+04    0.315380    0.250000    0.332360    0.320000    0.280000    0.341980    0.334330
      7000   -1.50653e+04    0.314830    0.320000    0.334620    0.320000    0.200000    0.338700    0.331225
      7025   -1.50966e+04    0.315080    0.300000    0.331900    0.240000    0.360000    0.342060    0.334080
      7050   -1.57098e+04    0.315855    0.320000    0.324180    0.360000    0.440000    0.339860    0.334340
      7075   -1.61108e+04    0.315265    0.350000    0.331360    0.280000    0.200000    0.337260    0.334225
      7100   -1.64964e+04    0.313925    0.290000    0.338000    0.320000    0.240000    0.339060    0.334270
      7125   -1.59540e+04    0.314340    0.320000    0.324900    0.560000    0.240000    0.331800    0.333715
      7150   -1.64533e+04    0.315475    0.320000    0.328580    0.200000    0.200000    0.340300    0.334070
      7175   -1.61995e+04    0.315690    0.380000    0.332380    0.160000    0.480000    0.339460    0.332100
      7200   -1.64987e+04    0.315335    0.290000    0.335520    0.440000    0.320000    0.337960    0.333385
      7225   -1.60131e+04    0.314775    0.380000    0.330500    0.240000    0.320000    0.341060    0.334140
      7250   -1.67265e+04    0.315435    0.400000    0.323820    0.360000    0.280000    0.339980    0.330830
      7275   -1.64667e+04    0.314025    0.330000    0.333620    0.120000    0.320000    0.338780    0.332175
      7300   -1.62320e+04    0.317785    0.320000    0.331340    0.280000    0.360000    0.338300    0.332550
      7325   -1.67768e+04    0.314625    0.390000    0.334880    0.280000    0.080000    0.337760    0.334380
      7350   -1.63091e+04    0.317750    0.370000    0.330620    0.320000    0.160000    0.339520    0.333940
      7375   -1.62427e+04    0.316625    0.330000    0.328220    0.200000    0.160000    0.337400    0.334290
      7400   -1.60368e+04    0.316705    0.360000    0.330760    0.400000    0.000000    0.339440    0.334970
      7425   -1.57694e+04    0.316275    0.370000    0.326280    0.360000    0.360000    0.334520    0.331745
      7450   -1.64412e+04    0.316230    0.300000    0.333080    0.240000    0.280000    0.342000    0.333775
      7475   -1.57733e+04    0.316640    0.330000    0.331920    0.240000    0.240000    0.339060    0.332285
      7500   -1.65700e+04    0.316445    0.410000    0.329600    0.320000    0.440000    0.340280    0.335285
      7525   -1.65289e+04    0.316715    0.320000    0.329580    0.240000    0.320000    0.339180    0.334470
      7550   -1.59897e+04    0.316885    0.280000    0.330140    0.240000    0.200000    0.339020    0.333650
      7575   -1.58266e+04    0.314240    0.280000    0.333940    0.440000    0.360000    0.337720    0.333440
      7600   -1.57120e+04    0.317160    0.350000    0.334640    0.160000    0.240000    0.337020    0.331870
      7625   -1.64981e+04    0.317775    0.330000    0.335240    0.280000    0.360000    0.335540    0.330460
      7650   -1.61626e+04    0.316740    0.320000    0.334220    0.280000    0.360000    0.341160    0.333180
      7675   -1.62355e+04    0.315255    0.360000    0.333960    0.240000    0.040000    0.339940    0.333470
      7700   -1.58867e+04    0.316535    0.300000    0.331740    0.400000    0.160000    0.337280    0.333775
      7725   -1.66063e+04    0.313910    0.310000    0.331220    0.240000    0.200000    0.338460    0.332385
      7750   -1.64786e+04    0.313820    0.390000    0.331680    0.320000    0.280000    0.340760    0.332695
      7775   -1.65426e+04    0.316125    0.310000    0.326420    0.200000    0.280000    0.341200    0.334560
      7800   -1.56651e+04    0.317350    0.330000    0.330200    0.320000    0.280000    0.342660    0.335105
      7825   -1.65784e+04    0.314700    0.300000    0.328360    0.240000    0.560000    0.336280    0.333915
      7850   -1.59122e+04    0.315300    0.410000    0.331740    0.240000    0.160000    0.336620    0.333710
      7875   -1.61992e+04    0.315505    0.350000    0.332560    0.280000    0.160000    0.341900    0.334420
      7900   -1.63825e+04    0.317205    0.350000    0.332740    0.480000    0.200000    0.341340    0.333710
      7925   -1.65567e+04    0.315815    0.280000    0.330520    0.320000    0.400000    0.336000    0.334050
      7950   -1.71093e+04    0.317300    0.300000    0.331800    0.320000    0.400000    0.339240    0.334050
      7975   -1.68741e+04    0.317025    0.290000    0.332320    0.320000    0.280000    0.342320    0.333645
      8000   -1.69613e+04    0.315715    0.280000    0.327820    0.400000    0.320000    0.338380    0.332215
