 iteration      beta_a      beta_b
     55700    0.673631    3.424268
     55725    0.678085    3.376837
     55750    0.688565    3.401513
     55775    0.674435    3.335077
     55800    0.666391    3.306023
     55825    0.672166    3.366702
     55850    0.692601    3.333587
     55875    0.672787    3.371237
     55900    0.677094    3.407968
     55925    0.685692    3.372841
     55950    0.669711    3.316809
     55975    0.673456    3.373462
     56000    0.673248    3.474535
     56025    0.680313    3.447558
     56050    0.678223    3.334114
     56075    0.686852    3.411218
     56100    0.678768    3.422959
     56125    0.680239    3.375852
     56150    0.678550    3.419269
     56175    0.689219    3.449924
     56200    0.689958    3.379178
     56225    0.699197    3.446058
     56250    0.683724    3.439219
     56275    0.666805    3.360996
     56300    0.692079    3.546316
     56325    0.692168    3.416979
     56350    0.671924    3.332103
     56375    0.679434    3.459150
     56400    0.694622    3.459421
     56425    0.665349    3.305997
     56450    0.668090    3.376944
     56475    0.678343    3.423505
     56500    0.673835    3.402584
     56525    0.685495    3.413780
     56550    0.682456    3.374705
     56575    0.674144    3.368246
     56600    0.688321    3.413886
     56625    0.702518    3.483294
     56650    0.701884    3.474907
     56675    0.708273    3.509941
     56700    0.697598    3.440868
     56725    0.677007    3.432580
     56750    0.692730    3.470850
     56775    0.680953    3.348397
     56800    0.667417    3.283834
     56825    0.677444    3.401025
     56850    0.677494    3.440791
     56875    0.672442    3.437237
     56900    0.679180    3.377825
     56925    0.686513    3.462449
     56950    0.680104    3.396941
     56975    0.679501    3.450899
     57000    0.694067    3.523593
     57025    0.683885    3.472013
     57050    0.697228    3.425895
     57075    0.680905    3.369470
     57100    0.681230    3.361759
     57125    0.686698    3.390286
     57150    0.703849    3.622513
     57175    0.705715    3.498665
     57200    0.691963    3.444025
     57225    0.709033    3.475413
     57250    0.678203    3.360645
     57275    0.672951    3.427076
     57300    0.689754    3.453736
     57325    0.658213    3.324978
     57350    0.698404    3.558833
     57375    0.698147    3.544892
     57400    0.683387    3.467010
     57425    0.676748    3.405142
     57450    0.665431    3.451944
     57475    0.672167    3.479435
     57500    0.692096    3.433323
     57525    0.687696    3.436274
     57550    0.700800    3.578722
     57575    0.675165    3.377629
     57600    0.670475    3.370424
     57625    0.672862    3.344526
     57650    0.677984    3.424451
     57675    0.690940    3.436728
     57700    0.681027    3.454200
     57725    0.688349    3.343009
     57750    0.677470    3.424446
     57775    0.683005    3.456019
     57800    0.685280    3.447290
     57825    0.688764    3.471201
     57850    0.678522    3.400886
     57875    0.702551    3.597410
     57900    0.686353    3.376537
     57925    0.693007    3.400277
     57950    0.689108    3.507645
     57975    0.671121    3.391465
     58000    0.686124    3.375190
     58025    0.685861    3.405338
     58050    0.686430    3.530251
     58075    0.673927    3.476768
     58100    0.707631    3.563284
     58125    0.699524    3.527598
     58150    0.711688    3.657342
     58175    0.680443    3.362658
     58200    0.680873    3.422753
     58225    0.691649    3.443839
     58250    0.693998    3.479682
     58275    0.687035    3.413732
     58300    0.668023    3.339479
     58325    0.682540    3.539000
     58350    0.692598    3.430163
     58375    0.674565    3.389848
     58400    0.665926    3.391240
     58425    0.691681    3.527959
     58450    0.689895    3.426909
     58475    0.680202    3.414438
     58500    0.683495    3.372065
     58525    0.691505    3.359388
     58550    0.680915    3.424560
     58575    0.695796    3.455554
     58600    0.693845    3.492256
     58625    0.666868    3.389755
     58650    0.690648    3.454753
     58675    0.699363    3.442811
     58700    0.681858    3.321267
     58725    0.694946    3.478206
     58750    0.679475    3.306856
     58775    0.662120    3.240934
     58800    0.680728    3.364012
     58825    0.680610    3.341472
     58850    0.690322    3.409586
     58875    0.694720    3.397598
     58900    0.711685    3.562697
     58925    0.695115    3.551434
     58950    0.687303    3.450111
     58975    0.704852    3.461609
     59000    0.687242    3.388873
     59025    0.672264    3.371725
     59050    0.689316    3.438758
     59075    0.665082    3.283536
     59100    0.681308    3.434501
     59125    0.707998    3.586977
     59150    0.706100    3.523249
     59175    0.689082    3.456272
     59200    0.672044    3.310567
     59225    0.697793    3.446770
     59250    0.680115    3.348928
     59275    0.687177    3.385770
     59300    0.660354    3.295016
     59325    0.677328    3.368408
     59350    0.704378    3.487373
     59375    0.688824    3.421887
     59400    0.705412    3.495981
     59425    0.689322    3.513328
     59450    0.699930    3.465290
     59475    0.675224    3.407972
     59500    0.694585    3.424719
     59525    0.698878    3.446707
     59550    0.709680    3.597261
     59575    0.700069    3.446597
     59600    0.685034    3.514278
     59625    0.668942    3.307611
     59650    0.673984    3.377444
     59675    0.668347    3.448153
     59700    0.673522    3.340556
     59725    0.673434    3.378901
     59750    0.693679    3.480134
     59775    0.677696    3.405791
     59800    0.691529    3.401331
     59825    0.680871    3.380817
     59850    0.675860    3.345388
     59875    0.672668    3.396899
     59900    0.671762    3.346759
     59925    0.679998    3.442404
     59950    0.667215    3.254923
     59975    0.693541    3.515124
     60000    0.664753    3.377013
     60025    0.666566    3.366278
     60050    0.688494    3.494210
     60075    0.685159    3.252992
     60100    0.686415    3.507360
     60125    0.692735    3.446733
     60150    0.709398    3.571599
     60175    0.682888    3.450675
     60200    0.659674    3.223935
     60225    0.700069    3.481638
     60250    0.669673    3.424955
     60275    0.676287    3.373407
     60300    0.668947    3.393208
     60325    0.684329    3.517531
     60350    0.671008    3.448972
     60375    0.665792    3.370295
     60400    0.665069    3.338508
     60425    0.668205    3.413092
     60450    0.665751    3.354254
     60475    0.674380    3.393516
     60500    0.686117    3.474075
     60525    0.681380    3.418771
     60550    0.676362    3.396226
     60575    0.664496    3.332650
     60600    0.697474    3.414362
     60625    0.688487    3.316904
     60650    0.686963    3.425616
     60675    0.664976    3.276834
     60700    0.671500    3.287160
     60725    0.667135    3.287921
     60750    0.675496    3.337534
     60775    0.672140    3.279590
     60800    0.672554    3.381052
     60825    0.685854    3.348374
     60850    0.685045    3.410830
     60875    0.673859    3.403576
     60900    0.672322    3.426359
     60925    0.662577    3.393231
     60950    0.691920    3.392423
     60975    0.676627    3.370810
     61000    0.686988    3.454191
     61025    0.708440    3.587702
     61050    0.686065    3.418238
     61075    0.692777    3.464377
     61100    0.685692    3.468305
     61125    0.681172    3.313171
     61150    0.665996    3.308015
     61175    0.694157    3.486786
     61200    0.692646    3.387064
     61225    0.679215    3.351060
     61250    0.673836    3.339259
     61275    0.662042    3.282952
     61300    0.688443    3.473038
     61325    0.681678    3.364403
     61350    0.680290    3.330639
     61375    0.682369    3.371406
     61400    0.677170    3.370736
     61425    0.692301    3.394232
     61450    0.668076    3.363640
     61475    0.663217    3.286155
     61500    0.678247    3.369375
     61525    0.680523    3.365868
     61550    0.684933    3.352042
     61575    0.662320    3.302763
     61600    0.666966    3.327575
     61625    0.670880    3.207174
     61650    0.674380    3.347639
     61675    0.684906    3.402266
     61700    0.688610    3.436227
     61725    0.684518    3.492703
     61750    0.688861    3.604692
     61775    0.679078    3.304280
     61800    0.674710    3.470195
     61825    0.692441    3.569138
     61850    0.698333    3.533528
     61875    0.686045    3.482427
     61900    0.671426    3.366264
     61925    0.676321    3.269465
     61950    0.677503    3.299586
     61975    0.681053    3.377791
     62000    0.675825    3.362222
     62025    0.688740    3.504920
     62050    0.701778    3.552408
     62075    0.682824    3.409221
     62100    0.681553    3.424329
     62125    0.685522    3.433527
     62150    0.675400    3.329520
     62175    0.693945    3.568095
     62200    0.690988    3.354349
     62225    0.685712    3.405215
     62250    0.680873    3.409233
     62275    0.688504    3.555733
     62300    0.675020    3.401922
     62325    0.669743    3.296837
     62350    0.677899    3.370987
     62375    0.691879    3.462278
     62400    0.673551    3.327014
     62425    0.686624    3.403258
     62450    0.684144    3.439589
     62475    0.686627    3.427962
     62500    0.698223    3.411269
     62525    0.701508    3.559346
     62550    0.679214    3.467540
     62575    0.677293    3.341803
     62600    0.680772    3.503323
     62625    0.702315    3.536203
     62650    0.712300    3.616549
     62675    0.686328    3.427397
     62700    0.690748    3.417705
     62725    0.678677    3.399960
     62750    0.684442    3.416441
     62775    0.684269    3.308399
     62800    0.686153    3.330001
     62825    0.693076    3.438346
     62850    0.669202    3.322570
     62875    0.675578    3.269065
     62900    0.694933    3.434619
     62925    0.698744    3.394304
     62950    0.675813    3.396808
     62975    0.691027    3.480437
     63000    0.663328    3.309838
     63025    0.686379    3.367879
     63050    0.669216    3.301454
     63075    0.673973    3.461838
     63100    0.673263    3.385694
     63125    0.675820    3.318344
     63150    0.689934    3.407622
     63175    0.688461    3.488507
     63200    0.693447    3.475569
     63225    0.696222    3.535203
     63250    0.701912    3.437971
     63275    0.670056    3.304961
     63300    0.685346    3.371732
     63325    0.691131    3.443157
     63350    0.660743    3.264758
     63375    0.685411    3.304763
     63400    0.687799    3.458175
     63425    0.670856    3.398007
     63450    0.696072    3.476684
     63475    0.705462    3.629251
     63500    0.690361    3.526866
     63525    0.691209    3.575013
     63550    0.709994    3.499422
     63575    0.695787    3.471532
     63600    0.683913    3.516550
     63625    0.673629    3.405815
     63650    0.691949    3.419066
     63675    0.683625    3.488414
     63700    0.699911    3.531108
     63725    0.693965    3.507454
     63750    0.684210    3.481210
     63775    0.682966    3.495759
     63800    0.679936    3.441826
     63825    0.684948    3.452794
     63850    0.688004    3.319919
     63875    0.677961    3.275684
     63900    0.695864    3.474199
     63925    0.683982    3.473275
     63950    0.691899    3.424971
     63975    0.684657    3.357999
     64000    0.688359    3.483703
     64025    0.664462    3.235507
     64050    0.677534    3.360189
     64075    0.690930    3.342762
     64100    0.715249    3.483587
     64125    0.681213    3.428993
     64150    0.681724    3.399386
     64175    0.684613    3.338930
     64200    0.699238    3.437491
     64225    0.679529    3.366147
     64250    0.656831    3.304112
     64275    0.664854    3.431062
     64300    0.684610    3.519019
     64325    0.669096    3.397957
     64350    0.690387    3.440381
     64375    0.693781    3.463915
     64400    0.720456    3.552762
     64425    0.701124    3.424197
     64450    0.693370    3.419318
     64475    0.693509    3.412271
     64500    0.677688    3.418586
     64525    0.686423    3.379138
     64550    0.691482    3.480566
     64575    0.705831    3.483043
     64600    0.674853    3.467916
     64625    0.704706    3.519767
     64650    0.702953    3.524681
     64675    0.666466    3.369893
     64700    0.684672    3.393039
     64725    0.663398    3.336092
     64750    0.686555    3.400582
     64775    0.686014    3.357694
     64800    0.679860    3.412604
     64825    0.690627    3.409942
     64850    0.680105    3.409657
     64875    0.699489    3.571055
     64900    0.675668    3.401060
     64925    0.678997    3.436462
     64950    0.702236    3.553605
     64975    0.680231    3.424368
     65000    0.682622    3.477492
     65025    0.700909    3.486868
     65050    0.686561    3.384956
     65075    0.697175    3.473764
     65100    0.680361    3.382259
     65125    0.695018    3.384114
     65150    0.677647    3.307283
     65175    0.697645    3.513010
     65200    0.674117    3.361671
     65225    0.683370    3.318379
     65250    0.684446    3.388837
     65275    0.684877    3.544291
     65300    0.700988    3.501966
     65325    0.698625    3.516486
     65350    0.677877    3.317445
     65375    0.700471    3.518371
