 iteration      beta_a      beta_b
     10700    2.354833    1.055732
     10725    2.347703    1.042984
     10750    2.414839    1.056135
     10775    2.272529    1.035374
     10800    2.351056    1.062420
     10825    2.345052    1.095377
     10850    2.292389    1.039975
     10875    2.289433    1.058126
     10900    2.283139    1.034631
     10925    2.347491    1.059523
     10950    2.226615    1.038187
     10975    2.237831    1.005306
     11000    2.332702    1.033094
     11025    2.189027    0.995930
     11050    2.294425    1.075278
     11075    2.259567    1.012963
     11100    2.360845    1.074048
     11125    2.265012    1.013777
     11150    2.332254    1.038258
     11175    2.274167    1.008204
     11200    2.476740    1.093659
     11225    2.379030    1.055963
     11250    2.320324    1.022406
     11275    2.256815    1.043388
     11300    2.333984    1.045893
     11325    2.326964    1.045113
     11350    2.285893    1.059070
     11375    2.306436    1.068040
     11400    2.288689    1.029664
     11425    2.426997    1.083887
     11450    2.351648    1.084348
     11475    2.235666    1.010783
     11500    2.310884    1.043660
     11525    2.320997    1.059584
     11550    2.261222    1.079566
     11575    2.249923    1.031290
     11600    2.253754    1.016242
     11625    2.348642    1.092130
     11650    2.331604    1.064311
     11675    2.192643    1.035578
     11700    2.261348    1.051709
     11725    2.292945    1.068123
     11750    2.140616    0.970430
     11775    2.136945    0.992470
     11800    2.237269    1.049288
     11825    2.233340    1.005411
     11850    2.279972    1.043879
     11875    2.333891    1.058463
     11900    2.349045    1.088717
     11925    2.346103    1.060099
     11950    2.308877    1.059340
     11975    2.349184    1.050417
     12000    2.453088    1.088605
     12025    2.432708    1.065412
     12050    2.348064    1.046219
     12075    2.332625    1.061171
     12100    2.394143    1.046098
     12125    2.400787    1.080973
     12150    2.332168    1.075246
     12175    2.348723    1.014205
     12200    2.486863    1.074542
     12225    2.286018    1.054809
     12250    2.278215    1.051202
     12275    2.161621    1.011949
     12300    2.311252    1.083768
     12325    2.392047    1.049267
     12350    2.229233    1.012785
     12375    2.308795    1.060773
     12400    2.138761    1.004660
     12425    2.326844    1.046447
     12450    2.176378    1.017495
     12475    2.318142    1.086120
     12500    2.385227    1.047591
     12525    2.264475    1.055730
     12550    2.374181    1.049080
     12575    2.414054    1.061971
     12600    2.299139    1.044945
     12625    2.368229    1.076503
     12650    2.184682    1.016044
     12675    2.400029    1.043749
     12700    2.225568    1.001195
     12725    2.344817    1.050632
     12750    2.150877    0.991117
     12775    2.343708    1.041734
     12800    2.362362    1.041678
     12825    2.361033    1.059950
     12850    2.361243    1.065705
     12875    2.227391    1.044023
     12900    2.430621    1.078994
     12925    2.352637    1.076787
     12950    2.306900    1.041536
     12975    2.253665    1.066218
     13000    2.206989    0.984323
     13025    2.348263    1.069227
     13050    2.301541    1.035247
     13075    2.385259    1.064211
     13100    2.401351    1.034444
     13125    2.351181    1.067682
     13150    2.324633    1.035002
     13175    2.313401    1.024494
     13200    2.256855    1.026728
     13225    2.389673    1.046010
     13250    2.287025    1.052994
     13275    2.483330    1.118142
     13300    2.272533    1.003188
     13325    2.310728    1.029268
     13350    2.291242    1.004534
     13375    2.328135    1.074169
     13400    2.333808    1.037269
     13425    2.351263    1.067377
     13450    2.280632    1.049039
     13475    2.343967    1.057027
     13500    2.151569    0.988055
     13525    2.233476    1.033283
     13550    2.163285    1.023223
     13575    2.336115    1.051416
     13600    2.240677    1.045065
     13625    2.329122    1.060403
     13650    2.240693    1.032956
     13675    2.225530    1.016272
     13700    2.285581    1.015008
     13725    2.397825    1.075854
     13750    2.214757    1.026184
     13775    2.265962    1.012498
     13800    2.327482    1.053853
     13825    2.412900    1.099347
     13850    2.350871    1.061087
     13875    2.251464    1.026641
     13900    2.254717    1.058350
     13925    2.341581    1.063083
     13950    2.470079    1.075244
     13975    2.216404    1.038116
     14000    2.319210    1.037392
     14025    2.442718    1.099710
     14050    2.317761    1.018164
     14075    2.292400    1.024355
     14100    2.266840    1.012533
     14125    2.328938    1.082102
     14150    2.394352    1.080015
     14175    2.353919    1.071873
     14200    2.326803    1.068705
     14225    2.419388    1.045329
     14250    2.315425    1.070857
     14275    2.102542    1.023119
     14300    2.342695    1.084233
     14325    2.292807    1.074156
     14350    2.362085    1.050955
     14375    2.339840    1.044982
     14400    2.196108    1.014692
     14425    2.305545    1.022825
     14450    2.344942    1.073750
     14475    2.391258    1.104843
     14500    2.461275    1.096709
     14525    2.384977    1.077265
     14550    2.247906    1.026100
     14575    2.320615    1.049656
     14600    2.298151    1.042172
     14625    2.312031    1.083327
     14650    2.253007    1.039274
     14675    2.374809    1.069713
     14700    2.273718    1.046534
     14725    2.198705    1.010577
