 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
      6650   -2.16250e+04    0.317301    0.270000    0.330138    0.200000    0.320000    0.337768    0.330560
      6675   -2.13497e+04    0.314215    0.320000    0.324144    0.360000    0.320000    0.337554    0.331543
      6700   -2.14461e+04    0.316478    0.290000    0.324713    0.480000    0.360000    0.337501    0.330538
      6725   -2.17328e+04    0.315073    0.360000    0.329124    0.160000    0.160000    0.336327    0.332121
      6750   -2.13011e+04    0.316607    0.280000    0.334566    0.280000    0.120000    0.339280    0.332646
      6775   -2.10410e+04    0.317168    0.350000    0.328359    0.320000    0.440000    0.335794    0.332450
      6800   -2.19393e+04    0.313473    0.310000    0.323948    0.200000    0.280000    0.337679    0.332134
      6825   -2.11435e+04    0.317257    0.340000    0.326563    0.240000    0.360000    0.338639    0.333900
      6850   -2.14892e+04    0.317666    0.350000    0.331223    0.400000    0.320000    0.341129    0.331161
      6875   -2.14100e+04    0.313739    0.300000    0.325709    0.160000    0.320000    0.340880    0.334108
      6900   -2.16324e+04    0.314629    0.380000    0.325851    0.400000    0.160000    0.336647    0.332517
      6925   -2.26365e+04    0.314140    0.290000    0.328110    0.120000    0.320000    0.339867    0.329453
      6950   -2.20575e+04    0.315367    0.350000    0.335491    0.200000    0.240000    0.340863    0.331161
      6975   -2.22398e+04    0.315167    0.310000    0.327594    0.280000    0.240000    0.337946    0.331925
      7000   -2.27217e+04    0.315740    0.270000    0.330903    0.120000    0.400000    0.339031    0.330000
      7025   -2.31574e+04    0.313086    0.250000    0.332165    0.000000    0.320000    0.335865    0.329849
      7050   -2.29617e+04    0.315487    0.260000    0.325567    0.240000    0.320000    0.338782    0.331796
      7075   -2.21047e+04    0.315265    0.310000    0.332984    0.360000    0.440000    0.339973    0.333948
      7100   -2.18496e+04    0.315883    0.390000    0.325745    0.400000    0.360000    0.338604    0.331512
      7125   -2.16183e+04    0.314500    0.340000    0.328786    0.320000    0.320000    0.339795    0.334024
      7150   -2.06442e+04    0.314855    0.350000    0.332895    0.480000    0.200000    0.339707    0.332468
      7175   -2.02929e+04    0.314735    0.390000    0.324962    0.160000    0.200000    0.340507    0.331494
      7200   -2.09456e+04    0.313837    0.350000    0.327381    0.160000    0.160000    0.339209    0.330867
      7225   -2.09676e+04    0.317208    0.280000    0.328964    0.400000    0.280000    0.336612    0.331578
      7250   -2.11356e+04    0.314353    0.320000    0.326261    0.360000    0.240000    0.340685    0.331120
      7275   -2.20888e+04    0.318266    0.300000    0.332183    0.320000    0.320000    0.337839    0.331525
      7300   -2.17868e+04    0.316252    0.270000    0.330031    0.320000    0.240000    0.341663    0.333019
      7325   -2.23923e+04    0.317857    0.290000    0.326172    0.200000    0.320000    0.335900    0.329942
      7350   -2.27537e+04    0.315438    0.340000    0.328484    0.320000    0.480000    0.340009    0.330738
      7375   -2.31680e+04    0.316692    0.310000    0.329907    0.280000    0.520000    0.337554    0.330627
      7400   -2.25690e+04    0.316625    0.300000    0.329195    0.480000    0.160000    0.339013    0.332712
      7425   -2.24942e+04    0.316127    0.370000    0.333126    0.320000    0.360000    0.337803    0.331107
      7450   -2.21855e+04    0.317888    0.260000    0.327025    0.320000    0.120000    0.337056    0.331587
      7475   -2.23837e+04    0.316692    0.370000    0.325638    0.200000    0.160000    0.339191    0.330365
      7500   -2.21868e+04    0.314727    0.300000    0.331063    0.280000    0.240000    0.339653    0.331325
