 iteration      beta_a      beta_b
     55700    0.491914    2.593336
     55725    0.493233    2.564917
     55750    0.490768    2.581391
     55775    0.487346    2.555729
     55800    0.482333    2.511947
     55825    0.485299    2.575623
     55850    0.484238    2.608615
     55875    0.490838    2.573671
     55900    0.483272    2.539588
     55925    0.485931    2.551210
     55950    0.481497    2.540475
     55975    0.493652    2.631504
     56000    0.492731    2.590543
     56025    0.487903    2.571004
     56050    0.489953    2.614787
     56075    0.484917    2.567091
     56100    0.485398    2.562237
     56125    0.487708    2.588066
     56150    0.488065    2.566867
     56175    0.488873    2.590055
     56200    0.478193    2.573765
     56225    0.491382    2.636643
     56250    0.488166    2.584687
     56275    0.490805    2.592624
     56300    0.491234    2.591491
     56325    0.483380    2.559859
     56350    0.490107    2.592079
     56375    0.483253    2.576380
     56400    0.488839    2.604708
     56425    0.486699    2.615079
     56450    0.486946    2.574866
     56475    0.484112    2.543203
     56500    0.488484    2.585860
     56525    0.485190    2.580507
     56550    0.486566    2.589104
     56575    0.488078    2.597184
     56600    0.483145    2.556399
     56625    0.482312    2.528618
     56650    0.492094    2.611116
     56675    0.492633    2.622456
     56700    0.482151    2.553869
     56725    0.479820    2.541733
     56750    0.485386    2.556793
     56775    0.485408    2.567533
     56800    0.481402    2.560555
     56825    0.489082    2.575086
     56850    0.487951    2.584796
     56875    0.485475    2.536334
     56900    0.489446    2.618062
     56925    0.486929    2.549614
     56950    0.486806    2.580012
     56975    0.493022    2.624723
     57000    0.484488    2.591510
     57025    0.487547    2.612752
     57050    0.479439    2.505852
     57075    0.483965    2.567610
     57100    0.484751    2.587291
     57125    0.482220    2.530893
     57150    0.488418    2.564774
     57175    0.487995    2.630629
     57200    0.484833    2.571387
     57225    0.485981    2.555945
     57250    0.491179    2.580994
     57275    0.490624    2.628555
     57300    0.488678    2.564114
     57325    0.486082    2.592336
     57350    0.489342    2.573822
     57375    0.486725    2.548573
     57400    0.486221    2.576886
     57425    0.489158    2.581797
     57450    0.484782    2.583828
     57475    0.487751    2.587833
     57500    0.490876    2.607429
     57525    0.481244    2.548643
     57550    0.480560    2.501299
     57575    0.484827    2.565689
     57600    0.486890    2.536919
     57625    0.489153    2.623704
     57650    0.495220    2.643843
     57675    0.483945    2.574929
     57700    0.485574    2.608282
     57725    0.487812    2.574677
     57750    0.488134    2.608875
     57775    0.488676    2.559446
     57800    0.492212    2.600673
     57825    0.487518    2.556334
     57850    0.489904    2.578581
     57875    0.491189    2.621023
     57900    0.489146    2.612608
     57925    0.488733    2.589628
     57950    0.487588    2.600124
     57975    0.491873    2.588373
     58000    0.485420    2.573151
     58025    0.487853    2.589689
     58050    0.491384    2.624926
     58075    0.488700    2.571788
     58100    0.491056    2.593688
     58125    0.489808    2.591613
     58150    0.482129    2.576831
     58175    0.485451    2.581998
     58200    0.490504    2.621320
     58225    0.486707    2.602197
     58250    0.490837    2.605906
     58275    0.484894    2.555958
     58300    0.484212    2.590905
     58325    0.488576    2.599052
     58350    0.486958    2.562788
     58375    0.489801    2.603781
     58400    0.486284    2.591609
     58425    0.486402    2.598505
     58450    0.483980    2.557209
     58475    0.487918    2.603668
     58500    0.492402    2.616557
     58525    0.492121    2.614302
     58550    0.487933    2.591905
     58575    0.490701    2.572721
     58600    0.483543    2.577284
     58625    0.481974    2.513226
     58650    0.483181    2.570930
     58675    0.485020    2.604104
     58700    0.491285    2.593142
     58725    0.483321    2.571508
     58750    0.491414    2.593112
     58775    0.493087    2.589647
     58800    0.480790    2.559506
     58825    0.489388    2.565431
     58850    0.485753    2.553643
     58875    0.482597    2.572990
     58900    0.481272    2.517194
     58925    0.498285    2.649063
     58950    0.484779    2.613954
     58975    0.487206    2.637832
     59000    0.490510    2.595940
     59025    0.493039    2.631821
     59050    0.485662    2.605770
     59075    0.481192    2.535986
     59100    0.492289    2.611814
     59125    0.485146    2.625189
     59150    0.488623    2.565335
     59175    0.482896    2.545722
     59200    0.494426    2.638140
     59225    0.482624    2.554206
     59250    0.491838    2.616755
     59275    0.487477    2.550298
     59300    0.491120    2.538021
     59325    0.487390    2.571262
     59350    0.492778    2.568020
     59375    0.487726    2.581810
     59400    0.482353    2.596062
     59425    0.488580    2.566908
     59450    0.485499    2.561244
     59475    0.484298    2.570492
     59500    0.491196    2.570186
     59525    0.480077    2.538302
     59550    0.482326    2.554746
     59575    0.486384    2.557992
     59600    0.483259    2.579286
     59625    0.486587    2.554089
     59650    0.485517    2.569444
     59675    0.485162    2.541611
     59700    0.486692    2.567050
     59725    0.492158    2.602036
     59750    0.483821    2.562636
     59775    0.492869    2.605781
     59800    0.492279    2.634218
     59825    0.489443    2.567376
     59850    0.482871    2.538768
     59875    0.485373    2.560801
     59900    0.491130    2.570809
     59925    0.489540    2.581931
     59950    0.484324    2.553695
     59975    0.488660    2.564424
     60000    0.489112    2.609770
     60025    0.493140    2.615040
     60050    0.495104    2.615397
     60075    0.493359    2.611497
     60100    0.486425    2.538903
     60125    0.485315    2.565598
     60150    0.491449    2.587893
     60175    0.492058    2.632012
     60200    0.485752    2.588639
     60225    0.491343    2.601712
     60250    0.486155    2.538073
     60275    0.488814    2.573848
     60300    0.485244    2.586952
     60325    0.484744    2.582599
     60350    0.483127    2.559832
     60375    0.487759    2.585236
     60400    0.488847    2.618483
     60425    0.490045    2.609610
     60450    0.488870    2.574433
     60475    0.489781    2.590760
     60500    0.486081    2.602133
     60525    0.486729    2.567073
     60550    0.487808    2.578897
     60575    0.482636    2.527239
     60600    0.481754    2.586062
     60625    0.484223    2.553348
     60650    0.486667    2.584337
     60675    0.490698    2.612906
     60700    0.487723    2.603345
     60725    0.484540    2.559866
     60750    0.480343    2.541223
