 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
     51650   -3.59478e+05    0.239791    0.226667    0.181841    0.280000    0.040000    0.320962    0.296140
     51675   -3.60066e+05    0.240235    0.160000    0.181173    0.240000    0.280000    0.321045    0.296363
     51700   -3.59149e+05    0.240882    0.160000    0.181892    0.160000    0.280000    0.322108    0.296355
     51725   -3.60923e+05    0.240827    0.240000    0.182484    0.200000    0.240000    0.321419    0.296117
     51750   -3.59177e+05    0.240682    0.160000    0.181857    0.360000    0.160000    0.322043    0.296169
     51775   -3.60484e+05    0.240519    0.213333    0.181517    0.320000    0.240000    0.321577    0.296292
     51800   -3.58666e+05    0.240077    0.160000    0.181083    0.320000    0.280000    0.322325    0.295295
     51825   -3.58768e+05    0.240548    0.106667    0.181510    0.200000    0.440000    0.322605    0.296325
     51850   -3.60204e+05    0.240723    0.133333    0.182222    0.240000    0.120000    0.321024    0.296846
     51875   -3.59971e+05    0.240529    0.173333    0.181117    0.400000    0.240000    0.321567    0.296239
     51900   -3.60791e+05    0.240617    0.213333    0.180548    0.240000    0.160000    0.322074    0.296138
     51925   -3.59390e+05    0.240116    0.226667    0.182489    0.120000    0.240000    0.322892    0.296035
     51950   -3.60823e+05    0.239845    0.186667    0.181325    0.280000    0.360000    0.321793    0.296009
     51975   -3.60378e+05    0.240394    0.253333    0.181674    0.280000    0.320000    0.321451    0.296073
     52000   -3.58787e+05    0.240129    0.146667    0.181413    0.240000    0.280000    0.320923    0.296112
     52025   -3.60086e+05    0.240032    0.120000    0.180809    0.200000    0.280000    0.322066    0.296306
     52050   -3.58975e+05    0.240963    0.080000    0.181954    0.280000    0.200000    0.321428    0.296486
     52075   -3.59541e+05    0.240618    0.173333    0.181950    0.400000    0.440000    0.321770    0.296460
     52100   -3.59739e+05    0.241343    0.213333    0.182403    0.280000    0.320000    0.321977    0.296965
     52125   -3.61240e+05    0.240901    0.120000    0.181787    0.240000    0.160000    0.321282    0.296144
     52150   -3.61616e+05    0.241076    0.266667    0.182454    0.280000    0.240000    0.321754    0.295982
     52175   -3.61612e+05    0.241463    0.240000    0.182547    0.400000    0.240000    0.322156    0.296495
     52200   -3.59446e+05    0.241169    0.173333    0.181976    0.200000    0.280000    0.321237    0.295924
     52225   -3.62795e+05    0.241858    0.120000    0.183534    0.360000    0.280000    0.321419    0.295937
     52250   -3.62961e+05    0.241457    0.240000    0.183183    0.320000    0.280000    0.322186    0.295774
     52275   -3.61455e+05    0.240099    0.093333    0.183266    0.200000    0.240000    0.321872    0.295694
     52300   -3.61745e+05    0.241077    0.173333    0.183048    0.200000    0.480000    0.321789    0.295548
     52325   -3.60274e+05    0.240312    0.213333    0.182412    0.160000    0.360000    0.322303    0.296507
     52350   -3.60578e+05    0.240353    0.146667    0.181308    0.440000    0.280000    0.322159    0.296434
     52375   -3.60789e+05    0.239810    0.173333    0.181940    0.320000    0.280000    0.322571    0.296362
     52400   -3.61845e+05    0.240389    0.106667    0.181597    0.240000    0.280000    0.321813    0.295610
     52425   -3.62522e+05    0.240699    0.066667    0.183047    0.400000    0.040000    0.321776    0.296130
     52450   -3.62275e+05    0.240692    0.186667    0.182752    0.320000    0.240000    0.322199    0.296379
