 iteration      lambda
     58875   31.229540
     58900   31.074943
     58925   31.573921
     58950   31.146453
     58975   31.059842
     59000   30.671663
     59025   30.495839
     59050   31.076207
     59075   30.453483
     59100   30.812073
     59125   30.701783
     59150   30.450703
     59175   30.799421
     59200   30.878124
     59225   31.227577
     59250   30.317722
     59275   30.829841
     59300   30.761245
     59325   31.207906
     59350   30.493606
     59375   31.102256
     59400   30.851376
     59425   31.163129
     59450   30.175907
     59475   30.601958
     59500   30.960655
     59525   30.651081
     59550   31.038621
     59575   31.043985
     59600   30.623112
     59625   31.077352
     59650   30.680399
     59675   30.662189
     59700   30.908388
     59725   31.224625
     59750   31.164361
     59775   31.091272
     59800   31.446124
     59825   31.249263
     59850   31.893805
     59875   31.188616
     59900   30.800641
     59925   30.825021
     59950   31.458027
     59975   31.901320
     60000   31.968476
     60025   31.805039
     60050   31.687921
     60075   31.667875
     60100   31.530029
     60125   31.479947
     60150   31.199039
     60175   31.722906
     60200   31.556152
     60225   32.154176
     60250   32.396070
     60275   31.586825
     60300   32.064701
     60325   31.717886
     60350   32.169302
     60375   32.011835
     60400   32.156529
     60425   32.238642
     60450   32.204098
     60475   32.279617
     60500   32.085754
     60525   31.975242
     60550   32.317082
     60575   31.878236
     60600   32.179420
     60625   32.268324
     60650   32.424450
     60675   32.171716
     60700   32.043279
     60725   32.528403
     60750   32.322716
     60775   31.839383
     60800   31.955394
     60825   32.536949
     60850   32.298575
     60875   31.946906
     60900   32.599045
     60925   32.181313
     60950   32.396166
     60975   31.846413
     61000   32.990207
     61025   32.780800
     61050   33.052006
     61075   32.627200
     61100   32.530851
     61125   32.459298
     61150   32.022640
     61175   32.522699
     61200   32.248056
     61225   31.671740
     61250   32.097357
     61275   32.391698
     61300   32.639764
     61325   31.938566
     61350   31.893857
     61375   31.953311
     61400   31.878967
     61425   32.170895
     61450   32.295763
     61475   32.722196
     61500   32.095031
     61525   32.260587
     61550   31.828681
     61575   32.799822
     61600   32.833256
     61625   33.110604
